commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
7d0b368	keep	depthwise max_depth=18 with shorter boosting schedule	0.8041	0.7479	0.7454	0.7155
7d0b368	discard	depthwise max_depth=19 with shorter boosting schedule	0.8041	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=20 with shorter boosting schedule	0.8039	N/A	N/A	N/A
7d0b368	crash	depthwise max_depth=18 with eta=0.028 timed out	0.0000	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=18 with max_bin=2048	0.8037	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=18 with gamma=0.0	0.8038	N/A	N/A	N/A
7d0b368	keep	depthwise max_depth=18 with longer boosting schedule	0.8042	0.7479	0.7454	0.7155
7d0b368	crash	depthwise max_depth=18 with num_boost_round=1800 timed out	0.0000	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=18 with num_boost_round=1600	0.8042	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=18 with gamma=0.05	0.8038	N/A	N/A	N/A
7d0b368	crash	depthwise max_depth=19 with longer boosting schedule timed out	0.0000	N/A	N/A	N/A
7d0b368	crash	depthwise max_depth=18 with min_child_weight=6 timed out	0.0000	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=18 with min_child_weight=6 and shorter schedule	0.8035	N/A	N/A	N/A
7d0b368	crash	depthwise max_depth=18 with lambda=1.5 timed out	0.0000	N/A	N/A	N/A
7d0b368	discard	depthwise max_depth=18 with lambda=1.5 and shorter schedule	0.8031	N/A	N/A	N/A
