commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
70f193c	discard	lossguide max leaves 64	0.7769	N/A	N/A	N/A
9610702	keep	lossguide max leaves 96	0.7825	0.7872	0.7841	0.7295
03d5217	keep	850 trees learning rate 0.014 lossguide max leaves 112	0.7840	0.7891	0.7856	0.7300
007f281	keep	750 trees learning rate 0.016 lossguide max leaves 128	0.7855	0.7907	0.7872	0.7299
a1c2b6b	keep	650 trees learning rate 0.0185 lossguide max leaves 144	0.7872	0.7925	0.7889	0.7301
65a84fa	keep	550 trees learning rate 0.022 lossguide max leaves 160	0.7885	0.7945	0.7905	0.7309
a28fa57	keep	450 trees learning rate 0.027 lossguide max leaves 192	0.7906	0.7964	0.7919	0.7315
a18be2e	keep	350 trees learning rate 0.034 lossguide max leaves 256	0.7918	0.7987	0.7930	0.7320
2d47dfd	keep	250 trees learning rate 0.048 lossguide max leaves 384	0.7939	0.8023	0.7950	0.7319
6085269	discard	200 trees learning rate 0.06 lossguide max leaves 512	0.7939	N/A	N/A	N/A
75d7f37	keep	300 trees learning rate 0.04 lossguide max leaves 384	0.7943	0.8022	0.7962	0.7333
38316c9	keep	350 trees learning rate 0.034 lossguide max leaves 384	0.7946	0.8030	0.7965	0.7326
568aca6	crash	400 trees learning rate 0.03 lossguide max leaves 384 timeout	0.0000	N/A	N/A	N/A
e86b1ac	keep	375 trees learning rate 0.032 lossguide max leaves 384	0.7952	0.8029	0.7963	0.7328
a290479	keep	390 trees learning rate 0.031 lossguide max leaves 384	0.7958	0.8031	0.7967	0.7327
37f0f3e	discard	395 trees learning rate 0.0305 lossguide max leaves 384	0.7953	N/A	N/A	N/A
6489367	discard	min child weight 25 on high leaf lossguide	0.7927	N/A	N/A	N/A
7d563ed	keep	min child weight 12 on high leaf lossguide	0.7964	0.8043	0.7978	0.7328
57c3219	discard	min child weight 8 on high leaf lossguide	0.7957	N/A	N/A	N/A
dd71459	discard	gamma 0.05 on high leaf lossguide	0.7964	N/A	N/A	N/A
7f28f86	discard	reg_lambda 0.5 on high leaf lossguide	0.7959	N/A	N/A	N/A
8482685	discard	reg_lambda 2.0 on high leaf lossguide	0.7952	N/A	N/A	N/A
942a0cf	discard	colsample_bynode 0.8 on high leaf lossguide	0.7944	N/A	N/A	N/A
7247d86	crash	distance log and sqrt transforms timeout	0.0000	N/A	N/A	N/A
1070d81	discard	385 trees learning rate 0.0315 lossguide max leaves 384	0.7961	N/A	N/A	N/A
431f9f7	crash	max_cat_threshold 256 timeout on high leaf lossguide	0.0000	N/A	N/A	N/A
c7e711e	discard	max_cat_threshold 32 on high leaf lossguide	0.7962	N/A	N/A	N/A
6e3f9c3	keep	330 trees learning rate 0.0365 lossguide max leaves 448	0.7966	0.8045	0.7980	0.7327
918f195	keep	300 trees learning rate 0.04 lossguide max leaves 512	0.7973	0.8060	0.7988	0.7333
a80412e	keep	250 trees learning rate 0.048 lossguide max leaves 640	0.7979	0.8069	0.7986	0.7330
a2d1397	discard	200 trees learning rate 0.06 lossguide max leaves 768	0.7962	N/A	N/A	N/A
c4573f5	keep	275 trees learning rate 0.044 lossguide max leaves 640	0.7983	0.8072	0.7999	0.7336
a79aed2	keep	250 trees learning rate 0.048 lossguide max leaves 704	0.7984	0.8073	0.7996	0.7335
6239b57	discard	230 trees learning rate 0.052 lossguide max leaves 768	0.7976	N/A	N/A	N/A
00d0b0f	keep	260 trees learning rate 0.0465 lossguide max leaves 704	0.7989	0.8074	0.8000	0.7326
d0aca0e	crash	265 trees learning rate 0.0455 lossguide max leaves 704 timeout	0.0000	N/A	N/A	N/A
76302ee	crash	min child weight 10 on 704-leaf lossguide timeout	0.0000	N/A	N/A	N/A
7ce5a0d	discard	min child weight 14 on 704-leaf lossguide	0.7973	N/A	N/A	N/A
2a70be4	discard	max depth 16 cap on 704-leaf lossguide	0.7968	N/A	N/A	N/A
55e5e9d	discard	max_bin 128 on 704-leaf lossguide	0.7973	N/A	N/A	N/A
3d49c0c	crash	colsample_bytree 0.60 on 704-leaf lossguide timeout	0.0000	N/A	N/A	N/A
d50b33c	crash	subsample 0.95 on 704-leaf lossguide timeout	0.0000	N/A	N/A	N/A
91ebdef	discard	max leaves 672 on 260 tree schedule	0.7979	N/A	N/A	N/A
07012cc	discard	250 trees learning rate 0.048 lossguide max leaves 736	0.7987	N/A	N/A	N/A
e223999	discard	255 trees learning rate 0.0472 lossguide max leaves 704	0.7980	N/A	N/A	N/A
540e89b	crash	remove DepMinute timeout	0.0000	N/A	N/A	N/A
d8044af	discard	learning rate 0.048 on 260 tree 704 leaf model	0.7988	N/A	N/A	N/A
ce5cf47	discard	learning rate 0.045 on 260 tree 704 leaf model	0.7983	N/A	N/A	N/A
3db368e	discard	learning rate 0.047 on 260 tree 704 leaf model	0.7979	N/A	N/A	N/A
