commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
d423a3e	keep	700 trees at 0.014 learning rate	0.8029	0.8132	0.8046	0.7384
0d7e7d8	keep	700 trees at 0.015 learning rate	0.8037	0.8140	0.8051	0.7379
6fbd86b	keep	700 trees at 0.016 learning rate	0.8042	0.8145	0.8055	0.7378
31eed32	keep	700 trees at 0.017 learning rate	0.8046	0.8150	0.8060	0.7378
293d2eb	keep	700 trees at 0.018 learning rate	0.8050	0.8153	0.8063	0.7378
89e4b20	keep	700 trees at 0.019 learning rate	0.8053	0.8158	0.8068	0.7373
77fe758	keep	700 trees at 0.02 learning rate	0.8057	0.8162	0.8071	0.7374
18875f1	keep	700 trees at 0.022 learning rate	0.8061	0.8169	0.8072	0.7372
ca7ade5	keep	700 trees at 0.024 learning rate	0.8065	0.8169	0.8081	0.7365
0f89874	keep	700 trees at 0.026 learning rate	0.8069	0.8174	0.8080	0.7363
e4e996f	discard	700 trees at 0.028 learning rate tied best	0.8069	N/A	N/A	N/A
5d04a51	discard	700 trees at 0.027 learning rate	0.8068	N/A	N/A	N/A
7a30d08	keep	lower min_child_weight to 8 at eta peak	0.8077	0.8186	0.8087	0.7370
b23af85	keep	lower min_child_weight to 6	0.8088	0.8196	0.8097	0.7377
6c8f200	crash	min_child_weight 4 timed out	0.0000	N/A	N/A	N/A
36fbc5f	discard	650 trees at 0.028 learning rate	0.8084	N/A	N/A	N/A
b4dc670	discard	650 trees at 0.03 learning rate	0.8079	N/A	N/A	N/A
90817d6	discard	reduce max_depth to 22 at best settings	0.8084	N/A	N/A	N/A
9825fb5	discard	colsample_bytree 0.55 tied best	0.8088	N/A	N/A	N/A
60424a9	discard	remove row subsampling	0.8082	N/A	N/A	N/A
8634ad3	discard	lower subsample to 0.9	0.8082	N/A	N/A	N/A
9661382	keep	max_cat_to_onehot 32	0.8201	0.8337	0.8221	0.7478
633d32a	discard	max_cat_to_onehot 24	0.8112	N/A	N/A	N/A
86bf145	discard	max_cat_to_onehot 512	0.7996	N/A	N/A	N/A
0cde539	keep	max_cat_threshold 128	0.8205	0.8341	0.8225	0.7481
4f9c89e	discard	max_cat_threshold 256 too slow	0.8206	N/A	N/A	N/A
5cdb54d	keep	max_cat_threshold 192	0.8210	0.8343	0.8224	0.7481
65bcc64	discard	max_cat_threshold 224	0.8206	N/A	N/A	N/A
4b59664	discard	max_cat_threshold 208	0.8205	N/A	N/A	N/A
4db273f	discard	max_cat_threshold 176	0.8206	N/A	N/A	N/A
0e2522e	discard	learning_rate 0.028 after categorical retune	0.8208	N/A	N/A	N/A
c1043d5	discard	learning_rate 0.025 tied best	0.8210	N/A	N/A	N/A
9a47a2e	discard	min_child_weight 5 too slow	0.8217	N/A	N/A	N/A
4348ec4	keep	min_child_weight 5 with 650 trees at 0.028	0.8213	0.8358	0.8234	0.7488
288a65a	keep	min_child_weight 5 with 650 trees at 0.029	0.8220	0.8355	0.8238	0.7487
64e6baf	discard	min_child_weight 5 with 650 trees at 0.03	0.8212	N/A	N/A	N/A
0eb7d08	discard	min_child_weight 5 with 650 trees at 0.0295	0.8214	N/A	N/A	N/A
6844416	discard	max_cat_threshold 224 after schedule retune	0.8214	N/A	N/A	N/A
8d046f2	discard	colsample_bytree 0.65 too slow	0.8224	N/A	N/A	N/A
caee7f9	discard	colsample_bytree 0.625 too slow	0.8224	N/A	N/A	N/A
f657d61	discard	625 trees 0.03 eta colsample 0.625 tied best	0.8220	N/A	N/A	N/A
7f25d47	keep	625 trees 0.031 eta colsample 0.625	0.8222	0.8363	0.8240	0.7483
aa69176	discard	625 trees 0.032 eta colsample 0.625	0.8216	N/A	N/A	N/A
d50ebcf	discard	625 trees 0.0315 eta colsample 0.625	0.8221	N/A	N/A	N/A
ee795c9	discard	600 trees 0.033 eta colsample 0.65	0.8219	N/A	N/A	N/A
9f7fc42	discard	add reg_alpha 0.1	0.8221	N/A	N/A	N/A
e6d7405	discard	min_child_weight 4 with 600 trees too slow	0.8233	N/A	N/A	N/A
5e7303b	keep	min_child_weight 4 with 575 trees at 0.0345	0.8233	0.8374	0.8247	0.7487
8099ed5	discard	min_child_weight 4 with 575 trees at 0.0355	0.8226	N/A	N/A	N/A
782cb30	discard	min_child_weight 4 with 575 trees at 0.034	0.8230	N/A	N/A	N/A
680e55a	discard	min_child_weight 4 with 550 trees at 0.036	0.8227	N/A	N/A	N/A
731dacd	discard	max_cat_threshold 224 with child_weight 4	0.8230	N/A	N/A	N/A
7c2f90a	discard	subsample 0.9 with child_weight 4	0.8224	N/A	N/A	N/A
cf33d9a	discard	colsample_bytree 0.65 tied best	0.8233	N/A	N/A	N/A
c1ce7cb	discard	max_depth 26 tied best too slow	0.8233	N/A	N/A	N/A
4e88375	keep	add categorical departure hour	0.8238	0.8382	0.8251	0.7491
0c48fdb	discard	add categorical departure quarter	0.8236	N/A	N/A	N/A
f0f408c	discard	remove raw departure hour tied best	0.8238	N/A	N/A	N/A
11631fa	discard	remove raw departure time	0.8229	N/A	N/A	N/A
0f11483	discard	gamma 0.05 split-loss regularization	0.8234	N/A	N/A	N/A
ad96f34	keep	learning_rate 0.0348 with DepHourCat	0.8240	0.8383	0.8252	0.7493
8f82f0f	discard	585 trees at learning_rate 0.0342	0.8237	N/A	N/A	N/A
08a837d	discard	learning_rate 0.0351	0.8233	N/A	N/A	N/A
a04c88b	discard	learning_rate 0.0347	0.8234	N/A	N/A	N/A
06f30d9	discard	colsample_bylevel 0.9	0.8234	N/A	N/A	N/A
3712049	discard	lossguide growth with max_leaves 512	0.8158	N/A	N/A	N/A
b40ee6d	discard	max_depth 23	0.8231	N/A	N/A	N/A
5ae4698	discard	distance quantile bins	0.8236	N/A	N/A	N/A
3edc009	discard	carrier weekday categorical interaction	0.8047	N/A	N/A	N/A
aa6a093	discard	570 trees at learning_rate 0.035	0.8235	N/A	N/A	N/A
422eacb	discard	subsample 0.975 over runtime cap	0.8241	N/A	N/A	N/A
63834f3	discard	subsample 0.97 over runtime cap	0.8238	N/A	N/A	N/A
5eef80d	discard	subsample 0.965 over runtime cap	0.8238	N/A	N/A	N/A
2137b2e	discard	colsample_bytree 0.6 over runtime cap	0.8240	N/A	N/A	N/A
e5726e3	discard	570 trees with subsample 0.975 over runtime cap	0.8241	N/A	N/A	N/A
