commit	CV_AUC	status	description
a4c8f37	0.8293	keep	lr=0.07
89e8ca5	0.8286	discard	lr=0.08
22185d1	0.8301	keep	n=290
e347372	0.8303	keep	n=310
e0361c9	0.8305	keep	n=320
047781e	0.8305	discard	n=325 (flat)
5f7c8cd	0.8295	discard	mcw=3 n=360
1ab6550	0.8302	discard	cs=0.9 n=300
d577475	0.8298	discard	cs=1.0 n=275
5437602	0.8297	discard	lr=0.075
6008a73	0.8297	discard	depth=28 n=300
fbd5932	0.8299	discard	max_bin=768 n=305
ed02728	0.8033	discard	+CarrierDOW (still fails)
883d97d	0.8299	discard	lr=0.065 (60.9s over)
e2dad92	0.8292	discard	feature_weights CarrierHour 2x
bb321be	0.8300	discard	depth=20 n=360
5ab4ca7	0.8294	discard	reg_alpha=0.1
c02f7d6	0.8306	keep	reg_lambda=0.5
8adeb3d	0.8304	discard	reg_lambda=0.2
5eb1a65	0.8308	keep	n=330
e33524d	0.8308	discard	n=345 (flat)
7e6e98d	0.8302	discard	subsample=0.95
027313e	0.8299	discard	cs=0.75
24248f1	0.8309	keep	max_depth=23
2b74397	0.8304	discard	max_depth=22
7df1589	0.8309	discard	n=340 (flat)
e221c22	0.8305	discard	lr=0.072
5beb1d1	0.8113	discard	max_cat_to_onehot=20 (Carrier needed in one-hot)
8014115	0.8296	discard	cs=1.0 n=290
66b66bf	0.8308	discard	+DepHourFrac (62s over)
db73191	0.8309	discard	n=335 (flat)
0ae2e11	0.8295	discard	mcw=1 n=240 (over budget)
none    	0.8262	discard	lossguide max_leaves=1024 (over budget)
4f728d0	0.8293	discard	mcw=3 n=350
3ace08b	0.8309	discard	feature_weights Dist 3x (flat)
none    	0.8306	discard	tree_method=approx (way over budget)
b5f09b7	0.8309	discard	lr=0.073 (flat)
1bdf276	0.8301	discard	remove UniqueCarrier
d5ba711	0.8280	discard	remove DayofMonth
0c476a3	0.8305	discard	+DistBucket
8a9aaa3	0.8289	discard	reg_lambda=2
7372022	0.8310	keep	sub=0.95 cs=0.85
d6ffea9	0.8310	discard	n=340 (flat)
7085bf2	0.8303	discard	sub=0.9 cs=0.9
7bb5858	0.8309	discard	lr=0.075
20191f7	0.8306	discard	depth=24 with new sub/cs
f4e7803	0.8304	discard	sub=1.0 cs=0.85
317e142	0.8302	discard	sub=0.95 cs=0.8
fe809cd	0.8310	discard	n=345 (flat)
aabf5cd	0.8303	discard	max_bin=384
ce2a09b	0.8310	discard	mcw=1.5 n=300 (62.6s over)
5c92401	0.8303	discard	gamma=0.05
e0b468d	0.8304	discard	colsample_bylevel=0.85
b14cb27	0.8195	discard	CarrierHour6 (coarser, lost info)
89c3d9f	0.8283	discard	+CarrierHour6 multi-grain
c04f637	0.8314	discard	max_cat_threshold=128 (60.9s over)
aad0e3d	0.8313	discard	max_cat_threshold=128 n=320 (60.8s over)
b21413f	0.8311	keep	max_cat_threshold=128 n=300
512842b	0.8312	keep	n=310
2c61a8c	0.8312	discard	n=315 (60s flat)
978ed8e	0.8317	keep	lr=0.075
7f5cbe3	0.8312	discard	lr=0.08
264e3be	0.8317	discard	n=320 (flat)
17a4227	0.8316	discard	max_cat_threshold=192 n=305
857837f	0.8308	discard	max_cat_threshold=96
4afd8ee	0.8303	discard	depth=24 (with new setup)
b4f8931	0.8317	discard	n=315 (flat)
35b84b6	0.8302	discard	mcw=3 with new setup
786e73f	0.8304	discard	sub=1.0 with new setup
498db40	0.8317	discard	cs=0.9 (flat)
24f25af	0.8313	discard	max_cat_threshold=160
7d10f59	0.8306	discard	objective=binary:logitraw
45c978b	0.8316	discard	scale_pos_weight=1.05
62ce7c4	0.8311	discard	max_bin=1024 (over budget)
6dc27e9	0.8311	discard	max_bin=640
2d3f5bd	0.8299	discard	+DepHour_sq
3113e7c	0.8273	discard	remove Month
d30b5a2	0.8330	keep	remove DayOfWeek (simplification win!)
6b8ad9d	0.8324	discard	also remove DayofMonth
135593c	0.8332	keep	remove DepHour_sin/cos
dbdc215	0.8327	discard	remove DepHour numeric
4de3bbd	0.8332	discard	n=330 (flat)
0c954da	0.8332	discard	lr=0.08 (flat)
98ef9a0	0.8336	keep	remove UniqueCarrier
1b5db66	0.8305	discard	remove DayofMonth
8d51beb	0.8337	keep	n=340
2fb8f97	0.8338	keep	n=360
0ef5f89	0.8339	discard	n=380 (60s boundary)
c178e72	0.8336	discard	depth=22 with new optimum
b23367b	0.8336	discard	lr=0.08 with simpler
9ea306f	0.8320	discard	mcw=3
cce059d	0.8336	discard	max_cat_threshold=160 with simpler
e43b394	0.8179	discard	remove DepMinute (still critical)
051152e	0.8077	discard	+HourDOW with simpler (still fails)
7fa590e	0.8336	discard	lr=0.07 (60.8s over)
7954ecf	0.8335	discard	reg_lambda=0.3
e24aa60	0.8295	discard	remove DepTime (still hurts)
3cb8eed	0.8337	discard	depth=25 n=340
e803503	0.8338	discard	cs=0.8 (flat)
63688dd	0.8336	discard	max_cat_threshold=256 n=320 (over)
5d20812	0.8212	discard	remove Dest
d9c3734	0.8336	discard	depth=22 n=370
e7bdd97	0.8328	discard	sub=0.92
f07b9b2	0.8328	discard	max_bin=400
9599a00	0.8335	discard	lr=0.077
none    	0.8337	discard	lossguide max_leaves=4096 (158s over)
0248d0b	0.8340	keep	lr=0.073
7b03834	0.8339	discard	lr=0.072 (over budget)
09ba14c	0.8341	keep	lr=0.074
cea8299	0.8335	discard	lr=0.076
8a250fd	0.8341	discard	n=370 (60.1s flat)
4e682da	0.8330	discard	sub=0.93
6ebe0ad	0.8338	discard	max_cat_threshold=144 (over)
f4afdb6	0.8335	discard	random_state=2025
e1f69c4	0.8341	discard	max_cat_to_onehot=64 (flat, equivalent)
17da4ce	0.8341	discard	sub=1.0 (60.6s over)
