commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
a456784	crash	gradient_based sampling (GPU only)	0.0000	N/A	N/A	N/A
8755fa5	discard	subsample=0.7	0.8259	N/A	N/A	N/A
ec11548	discard	+CarrierDistBand n=240	0.8259	N/A	N/A	N/A
06ff1f1	discard	shallow d=8 n=1300 (regime fails)	0.8008	N/A	N/A	N/A
13f8458	discard	cs=0.85 n=290	0.8279	N/A	N/A	N/A
1f3f1ff	discard	mcw=2.5	0.8276	N/A	N/A	N/A
df45363	discard	lr=0.06 n=280	0.8267	N/A	N/A	N/A
4f4a33a	discard	remove max_cat_to_onehot	0.8004	N/A	N/A	N/A
6a398bc	discard	depth=22 n=320 (60.4s over)	0.8279	N/A	N/A	N/A
aab9f8d	discard	HourDOW replace CarrierHour	0.7833	N/A	N/A	N/A
4f48cb9	keep	subsample=1.0 n=240	0.8283	0.8447	0.8315	0.7545
71bb8a9	keep	n=250	0.8285	0.8449	0.8318	0.7545
4b02c2c	keep	n=255	0.8286	0.8451	0.8319	0.7545
fce7651	keep	lr=0.06	0.8287	0.8457	0.8317	0.7540
a4c8f37	keep	lr=0.07	0.8293	0.8453	0.8322	0.7535
89e8ca5	discard	lr=0.08	0.8286	N/A	N/A	N/A
22185d1	keep	n=290	0.8301	0.8460	0.8330	0.7535
e347372	keep	n=310	0.8303	0.8462	0.8332	0.7536
e0361c9	keep	n=320	0.8305	0.8463	0.8333	0.7536
047781e	discard	n=325 (flat)	0.8305	N/A	N/A	N/A
5f7c8cd	discard	mcw=3 n=360	0.8295	N/A	N/A	N/A
1ab6550	discard	cs=0.9 n=300	0.8302	N/A	N/A	N/A
d577475	discard	cs=1.0 n=275	0.8298	N/A	N/A	N/A
5437602	discard	lr=0.075	0.8297	N/A	N/A	N/A
6008a73	discard	depth=28 n=300	0.8297	N/A	N/A	N/A
fbd5932	discard	max_bin=768 n=305	0.8299	N/A	N/A	N/A
ed02728	discard	+CarrierDOW (still fails)	0.8033	N/A	N/A	N/A
883d97d	discard	lr=0.065 (60.9s over)	0.8299	N/A	N/A	N/A
e2dad92	discard	feature_weights CarrierHour 2x	0.8292	N/A	N/A	N/A
bb321be	discard	depth=20 n=360	0.8300	N/A	N/A	N/A
5ab4ca7	discard	reg_alpha=0.1	0.8294	N/A	N/A	N/A
c02f7d6	keep	reg_lambda=0.5	0.8306	0.8471	0.8330	0.7535
8adeb3d	discard	reg_lambda=0.2	0.8304	N/A	N/A	N/A
5eb1a65	keep	n=330	0.8308	0.8473	0.8332	0.7535
e33524d	discard	n=345 (flat)	0.8308	N/A	N/A	N/A
7e6e98d	discard	subsample=0.95	0.8302	N/A	N/A	N/A
027313e	discard	cs=0.75	0.8299	N/A	N/A	N/A
24248f1	keep	max_depth=23	0.8309	0.8468	0.8334	0.7532
2b74397	discard	max_depth=22	0.8304	N/A	N/A	N/A
7df1589	discard	n=340 (flat)	0.8309	N/A	N/A	N/A
e221c22	discard	lr=0.072	0.8305	N/A	N/A	N/A
5beb1d1	discard	max_cat_to_onehot=20 (Carrier needed in one-hot)	0.8113	N/A	N/A	N/A
8014115	discard	cs=1.0 n=290	0.8296	N/A	N/A	N/A
66b66bf	discard	+DepHourFrac (62s over)	0.8308	N/A	N/A	N/A
db73191	discard	n=335 (flat)	0.8309	N/A	N/A	N/A
0ae2e11	discard	mcw=1 n=240 (over budget)	0.8295	N/A	N/A	N/A
none    	discard	lossguide max_leaves=1024 (over budget)	0.8262	N/A	N/A	N/A
4f728d0	discard	mcw=3 n=350	0.8293	N/A	N/A	N/A
3ace08b	discard	feature_weights Dist 3x (flat)	0.8309	N/A	N/A	N/A
none    	discard	tree_method=approx (way over budget)	0.8306	N/A	N/A	N/A
b5f09b7	discard	lr=0.073 (flat)	0.8309	N/A	N/A	N/A
1bdf276	discard	remove UniqueCarrier	0.8301	N/A	N/A	N/A
d5ba711	discard	remove DayofMonth	0.8280	N/A	N/A	N/A
0c476a3	discard	+DistBucket	0.8305	N/A	N/A	N/A
8a9aaa3	discard	reg_lambda=2	0.8289	N/A	N/A	N/A
7372022	keep	sub=0.95 cs=0.85	0.8310	0.8471	0.8335	0.7541
d6ffea9	discard	n=340 (flat)	0.8310	N/A	N/A	N/A
7085bf2	discard	sub=0.9 cs=0.9	0.8303	N/A	N/A	N/A
7bb5858	discard	lr=0.075	0.8309	N/A	N/A	N/A
20191f7	discard	depth=24 with new sub/cs	0.8306	N/A	N/A	N/A
f4e7803	discard	sub=1.0 cs=0.85	0.8304	N/A	N/A	N/A
317e142	discard	sub=0.95 cs=0.8	0.8302	N/A	N/A	N/A
fe809cd	discard	n=345 (flat)	0.8310	N/A	N/A	N/A
aabf5cd	discard	max_bin=384	0.8303	N/A	N/A	N/A
ce2a09b	discard	mcw=1.5 n=300 (62.6s over)	0.8310	N/A	N/A	N/A
5c92401	discard	gamma=0.05	0.8303	N/A	N/A	N/A
e0b468d	discard	colsample_bylevel=0.85	0.8304	N/A	N/A	N/A
b14cb27	discard	CarrierHour6 (coarser, lost info)	0.8195	N/A	N/A	N/A
89c3d9f	discard	+CarrierHour6 multi-grain	0.8283	N/A	N/A	N/A
c04f637	discard	max_cat_threshold=128 (60.9s over)	0.8314	N/A	N/A	N/A
aad0e3d	discard	max_cat_threshold=128 n=320 (60.8s over)	0.8313	N/A	N/A	N/A
b21413f	keep	max_cat_threshold=128 n=300	0.8311	0.8480	0.8336	0.7537
512842b	keep	n=310	0.8312	0.8481	0.8337	0.7537
2c61a8c	discard	n=315 (60s flat)	0.8312	N/A	N/A	N/A
978ed8e	keep	lr=0.075	0.8317	0.8480	0.8336	0.7533
7f5cbe3	discard	lr=0.08	0.8312	N/A	N/A	N/A
264e3be	discard	n=320 (flat)	0.8317	N/A	N/A	N/A
17a4227	discard	max_cat_threshold=192 n=305	0.8316	N/A	N/A	N/A
857837f	discard	max_cat_threshold=96	0.8308	N/A	N/A	N/A
4afd8ee	discard	depth=24 (with new setup)	0.8303	N/A	N/A	N/A
b4f8931	discard	n=315 (flat)	0.8317	N/A	N/A	N/A
35b84b6	discard	mcw=3 with new setup	0.8302	N/A	N/A	N/A
786e73f	discard	sub=1.0 with new setup	0.8304	N/A	N/A	N/A
498db40	discard	cs=0.9 (flat)	0.8317	N/A	N/A	N/A
24f25af	discard	max_cat_threshold=160	0.8313	N/A	N/A	N/A
7d10f59	discard	objective=binary:logitraw	0.8306	N/A	N/A	N/A
45c978b	discard	scale_pos_weight=1.05	0.8316	N/A	N/A	N/A
62ce7c4	discard	max_bin=1024 (over budget)	0.8311	N/A	N/A	N/A
6dc27e9	discard	max_bin=640	0.8311	N/A	N/A	N/A
2d3f5bd	discard	+DepHour_sq	0.8299	N/A	N/A	N/A
3113e7c	discard	remove Month	0.8273	N/A	N/A	N/A
d30b5a2	keep	remove DayOfWeek (simplification win!)	0.8330	0.8507	0.8361	0.7511
6b8ad9d	discard	also remove DayofMonth	0.8324	N/A	N/A	N/A
135593c	keep	remove DepHour_sin/cos	0.8332	0.8508	0.8362	0.7511
dbdc215	discard	remove DepHour numeric	0.8327	N/A	N/A	N/A
4de3bbd	discard	n=330 (flat)	0.8332	N/A	N/A	N/A
0c954da	discard	lr=0.08 (flat)	0.8332	N/A	N/A	N/A
98ef9a0	keep	remove UniqueCarrier	0.8336	0.8506	0.8365	0.7511
1b5db66	discard	remove DayofMonth	0.8305	N/A	N/A	N/A
8d51beb	keep	n=340	0.8337	0.8509	0.8367	0.7510
2fb8f97	keep	n=360	0.8338	0.8510	0.8368	0.7510
0ef5f89	discard	n=380 (60s boundary)	0.8339	N/A	N/A	N/A
c178e72	discard	depth=22 with new optimum	0.8336	N/A	N/A	N/A
b23367b	discard	lr=0.08 with simpler	0.8336	N/A	N/A	N/A
9ea306f	discard	mcw=3	0.8320	N/A	N/A	N/A
cce059d	discard	max_cat_threshold=160 with simpler	0.8336	N/A	N/A	N/A
e43b394	discard	remove DepMinute (still critical)	0.8179	N/A	N/A	N/A
051152e	discard	+HourDOW with simpler (still fails)	0.8077	N/A	N/A	N/A
7fa590e	discard	lr=0.07 (60.8s over)	0.8336	N/A	N/A	N/A
7954ecf	discard	reg_lambda=0.3	0.8335	N/A	N/A	N/A
e24aa60	discard	remove DepTime (still hurts)	0.8295	N/A	N/A	N/A
3cb8eed	discard	depth=25 n=340	0.8337	N/A	N/A	N/A
e803503	discard	cs=0.8 (flat)	0.8338	N/A	N/A	N/A
63688dd	discard	max_cat_threshold=256 n=320 (over)	0.8336	N/A	N/A	N/A
5d20812	discard	remove Dest	0.8212	N/A	N/A	N/A
d9c3734	discard	depth=22 n=370	0.8336	N/A	N/A	N/A
e7bdd97	discard	sub=0.92	0.8328	N/A	N/A	N/A
f07b9b2	discard	max_bin=400	0.8328	N/A	N/A	N/A
9599a00	discard	lr=0.077	0.8335	N/A	N/A	N/A
none    	discard	lossguide max_leaves=4096 (158s over)	0.8337	N/A	N/A	N/A
0248d0b	keep	lr=0.073	0.8340	0.8510	0.8361	0.7514
7b03834	discard	lr=0.072 (over budget)	0.8339	N/A	N/A	N/A
09ba14c	keep	lr=0.074	0.8341	0.8510	0.8368	0.7516
cea8299	discard	lr=0.076	0.8335	N/A	N/A	N/A
8a250fd	discard	n=370 (60.1s flat)	0.8341	N/A	N/A	N/A
4e682da	discard	sub=0.93	0.8330	N/A	N/A	N/A
6ebe0ad	discard	max_cat_threshold=144 (over)	0.8338	N/A	N/A	N/A
f4afdb6	discard	random_state=2025	0.8335	N/A	N/A	N/A
e1f69c4	discard	max_cat_to_onehot=64 (flat, equivalent)	0.8341	N/A	N/A	N/A
17da4ce	discard	sub=1.0 (60.6s over)	0.8341	N/A	N/A	N/A
