commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
8482256	keep	mcw 70 -> 60	0.7912	0.8012	0.7921	0.7166
f5b7759	keep	mcw 60 -> 40	0.7930	0.8041	0.7951	0.7201
eaff982	discard	mcw 40 -> 30 -- AUC win but total wall 88s over budget	0.7953	N/A	N/A	N/A
75cdd4e	keep	mcw 40 -> 35 (CV 59.8s, in budget)	0.7943	0.8051	0.7955	0.7218
85d3b2b	keep	mcw=30 with n_est=1500 (fits budget, beats mcw=35 n_est=2000)	0.7950	0.8060	0.7967	0.7241
325c742	keep	mcw 30 -> 20 (huge jump)	0.7970	0.8084	0.7989	0.7261
e0aa334	discard	mcw 20 -> 10 -- huge AUC win but 87s over budget	0.8000	N/A	N/A	N/A
80181da	keep	mcw=10 with n_est=1200 (CV 50s in budget)	0.7995	0.8111	0.8009	0.7313
88cfa35	keep	mcw 10 -> 5	0.8014	0.8161	0.8042	0.7344
3a609c3	discard	mcw 5 -> 3 (CV 62.3s over budget)	0.8039	N/A	N/A	N/A
535dec1	keep	mcw=3 with n_est=1000	0.8035	0.8176	0.8062	0.7351
8520086	keep	mcw 3 -> 2	0.8040	0.8173	0.8072	0.7350
81125fa	discard	mcw 2 -> 1 (CV 61.8s over budget)	0.8048	N/A	N/A	N/A
6c558e8	discard	mcw=1 with n_est=800 -- worse than mcw=2 n_est=1000	0.8039	N/A	N/A	N/A
31d676e	keep	mcw=1 with n_est=900	0.8043	0.8204	0.8075	0.7363
d0c4406	discard	max_depth 10 -> 11 in mcw=1 regime -- worse and over budget	0.8032	N/A	N/A	N/A
f2e17d8	discard	lr 0.04 -> 0.03 (mcw=1) -- equal AUC variance better	0.8042	N/A	N/A	N/A
943417c	discard	also add DayHour (mcw=1 regime) -- still hurts huge	0.7890	N/A	N/A	N/A
941e32a	keep	max_depth 10 -> 9 (faster CV 42s)	0.8044	0.8204	0.8079	0.7365
173324c	discard	max_depth 9 -> 8 -- worse	0.8040	N/A	N/A	N/A
b942c1d	keep	with depth=9, n_est 900 -> 1200	0.8056	0.8217	0.8090	0.7366
7e9326a	discard	n_est 1200 -> 1500 -- AUC win but CV 67s over budget	0.8061	N/A	N/A	N/A
e72eda4	keep	n_est 1200 -> 1300 (CV 59.7s edge)	0.8058	0.8221	0.8092	0.7365
fe549aa	keep	lr 0.04 -> 0.035	0.8059	0.8214	0.8085	0.7363
8968478	discard	lr 0.035 -> 0.03 -- CV 61s over budget	0.8060	N/A	N/A	N/A
