commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
42d7fe2	discard	n_est 2000->3000 lr 0.03->0.02 (TIMEOUT)	0.0000	N/A	N/A	N/A
03d0ec8	discard	reg_alpha=1.0 (no help)	0.7809	N/A	N/A	N/A
179bff9	discard	manual CV + early stopping (8k row loss > ES gain)	0.7768	N/A	N/A	N/A
33e16c5	discard	drop DayofMonth (real signal, hurts)	0.7746	N/A	N/A	N/A
19c5934	discard	max_depth 7->8, n_est 2000->1200 (no help, runtime 32s)	0.7807	N/A	N/A	N/A
8da5253	keep	max_depth=8, n_est=1500 (+0.0002, marginal)	0.7814	0.7890	0.7834	0.7181
a5a8593	keep	n_est 1500->1800 at depth=8	0.7820	0.7900	0.7838	0.7168
ad35d3c	discard	n_est 1800->2000 at depth=8 (saturated)	0.7820	N/A	N/A	N/A
81e6b2a	discard	lr 0.03->0.025 at depth=8 n_est=1800 (no help)	0.7812	N/A	N/A	N/A
6d540b6	discard	mcw 50->80 at depth=8 (no help)	0.7817	N/A	N/A	N/A
90196f5	discard	max_bin 256->128 (no help)	0.7809	N/A	N/A	N/A
e8f3de8	keep	colsample_bytree=0.95	0.7827	0.7910	0.7850	0.7171
6adca54	discard	colsample_bytree 0.95->0.9 (equal)	0.7827	N/A	N/A	N/A
47e981f	discard	add colsample_bynode=0.8 (equal)	0.7827	N/A	N/A	N/A
816b806	discard	lr 0.03->0.025 (with colsample=0.95) noise	0.7826	N/A	N/A	N/A
38757dc	discard	drop Distance (real signal)	0.7799	N/A	N/A	N/A
4161584	keep	add Minute (DepTime % 100) numeric — BIG WIN	0.7933	0.8031	0.7957	0.7236
8ff7759	discard	drop DepTime (essentially equal -0.0003, marginal simplification)	0.7930	N/A	N/A	N/A
8e1ccf9	discard	Minute as categorical (60 cats) — numeric better	0.7857	N/A	N/A	N/A
33af7dd	discard	mcw 50->20 — AUC up but total runtime ~74s, over 60s budget	0.7950	N/A	N/A	N/A
d978153	discard	mcw 20->10 (no help)	0.7946	N/A	N/A	N/A
89a5477	discard	n_est 1800->2000 (total ~81s, over 60s budget)	0.7952	N/A	N/A	N/A
d796cb3	keep	mcw=20 + n_est=1500 (budget-fit)	0.7944	0.8045	0.7968	0.7252
01ebbc4	discard	lr 0.03->0.025 (no help)	0.7941	N/A	N/A	N/A
76f9bc3	discard	depth 8->7, n_est 1500->2000 (TIMEOUT >65s)	0.0000	N/A	N/A	N/A
d478c2c	keep	mcw 20->15 (+0.0003)	0.7947	0.8045	0.7968	0.7255
60c85b0	discard	mcw 15->12 (TIMEOUT >65s)	0.0000	N/A	N/A	N/A
87f82ab	discard	lr 0.03->0.035 (no help)	0.7943	N/A	N/A	N/A
80886f1	discard	drop colsample_bytree (TIMEOUT — was helping with budget)	0.0000	N/A	N/A	N/A
a6f0578	discard	max_bin 256->128 (no help)	0.7943	N/A	N/A	N/A
5081358	discard	drop DepTime (DepTime adds cross-hour info H+M can't express)	0.7929	N/A	N/A	N/A
ac988fa	discard	grow_policy=lossguide max_leaves=200 (TIMEOUT)	0.0000	N/A	N/A	N/A
abf735e	discard	add MinuteMod5 (TIMEOUT — need to cut n_est)	0.0000	N/A	N/A	N/A
32643f3	keep	n_est 1500->1300 + MinuteMod5 (off-schedule signal, BIG WIN)	0.7965	0.8057	0.7988	0.7184
02e2151	keep	n_est 1300->1400 (+0.0002 marginal)	0.7967	0.8060	0.7990	0.7180
26e571e	discard	add MinuteMod30 (redundant with Mod5)	0.7943	N/A	N/A	N/A
180bad2	discard	n_est 1400->1500 (TIMEOUT)	0.0000	N/A	N/A	N/A
7bea221	discard	mcw 15->10 (no help)	0.7958	N/A	N/A	N/A
d7985dc	discard	gamma=0.1 (no change, std tightens slightly)	0.7967	N/A	N/A	N/A
eca6fe9	discard	add MinuteMod10 (TIMEOUT)	0.0000	N/A	N/A	N/A
3f0e7bc	keep	add LogDistance (+0.0003)	0.7970	0.8067	0.7981	0.7192
bec20d4	discard	drop Distance keep LogDistance (both add value)	0.7965	N/A	N/A	N/A
8d88a74	discard	subsample=0.95 (TIMEOUT)	0.0000	N/A	N/A	N/A
6a0f348	discard	add HourNum numeric (TIMEOUT)	0.0000	N/A	N/A	N/A
78169cb	discard	n_est 1400->1200 + MinuteMod10 (Mod10 doesn't add)	0.7955	N/A	N/A	N/A
91d5610	discard	reg_lambda=3 (no help)	0.7961	N/A	N/A	N/A
3950b79	discard	replace DepTime with DepTimeMin (TIMEOUT — cleaner splits cost time)	0.0000	N/A	N/A	N/A
113a5ee	discard	DepTime->DepTimeMin + n_est 1400->1200 (no help)	0.7957	N/A	N/A	N/A
946a38f	discard	depth 8->7 n_est 1900 (TIMEOUT)	0.0000	N/A	N/A	N/A
cbf863c	discard	max_cat_threshold=4 (too aggressive, AUC drop)	0.7915	N/A	N/A	N/A
0120c07	discard	depth=9 n_est=700 (AUC drop, but 40s runtime)	0.7949	N/A	N/A	N/A
01d5970	keep	depth=9 n_est=1000 (+0.0004)	0.7974	0.8071	0.7999	0.7214
c2e0220	keep	n_est 1000->1100 at depth=9	0.7978	0.8078	0.8003	0.7210
0657697	discard	mcw 15->20 at depth=9 (equal)	0.7978	N/A	N/A	N/A
28be049	discard	n_est 1200 at depth=9 (TIMEOUT)	0.0000	N/A	N/A	N/A
8be8e62	discard	lr 0.03->0.025 at depth=9 (no help)	0.7971	N/A	N/A	N/A
b634b18	discard	mcw 10 at depth=9 (TIMEOUT)	0.0000	N/A	N/A	N/A
0346637	discard	depth=10 n_est=600 (too few trees)	0.7954	N/A	N/A	N/A
0b98165	keep	depth=10 n_est=900	0.7980	0.8088	0.8006	0.7219
6b09446	keep	n_est 900->950 at depth=10	0.7983	0.8090	0.8009	0.7214
73a02c6	discard	mcw 15->25 at depth=10 (no help)	0.7981	N/A	N/A	N/A
29b0459	discard	lr=0.025 at depth=10 (TIMEOUT, variance)	0.0000	N/A	N/A	N/A
1e95945	discard	depth=11 n_est=500 (depth too deep)	0.7954	N/A	N/A	N/A
12a3b26	discard	mcw 15->12 at depth=10 (TIMEOUT)	0.0000	N/A	N/A	N/A
67aedbd	discard	n_est 950->850 + add MinuteMod10 (n_est cut > Mod10 gain)	0.7964	N/A	N/A	N/A
6f31090	discard	mcw 15->18 at depth=10 (no help)	0.7982	N/A	N/A	N/A
5b6b97f	keep	lr 0.03->0.04 at depth=10	0.7985	0.8090	0.8014	0.7190
6bde9c9	discard	lr 0.04->0.045 (equal)	0.7985	N/A	N/A	N/A
a303ae7	discard	n_est 950->850 at lr=0.04 (no help)	0.7982	N/A	N/A	N/A
1816034	discard	n_est 970 at lr=0.04 (TIMEOUT)	0.0000	N/A	N/A	N/A
cefc514	discard	subsample=0.97 (TIMEOUT)	0.0000	N/A	N/A	N/A
9117a70	discard	drop UniqueCarrier (real strong signal -0.014)	0.7845	N/A	N/A	N/A
5b9fb77	discard	booster=dart rate_drop=0.05 n_est=600 (TIMEOUT)	0.0000	N/A	N/A	N/A
c4f14b1	discard	max_bin 256->512 (TIMEOUT)	0.0000	N/A	N/A	N/A
1250a1a	discard	HourSin/HourCos + n_est 950->800 (cyclic + cut net negative)	0.7973	N/A	N/A	N/A
2d5e8b4	discard	drop Month (real strong seasonal signal -0.012)	0.7865	N/A	N/A	N/A
9f12ce7	discard	gamma=0.5 (too aggressive -0.0094)	0.7891	N/A	N/A	N/A
16c1b42	discard	gamma=0.2 (no help)	0.7968	N/A	N/A	N/A
