commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
6e6ea09	discard	lr 0.04 -> 0.03 (lr=0.04 sweet at this setup)	0.8046	N/A	N/A	N/A
902ecce	discard	colsample_bytree 0.6 -> 0.5	0.8037	N/A	N/A	N/A
f582864	discard	max_cat_threshold 64 -> 128 (+0.0001 but 62s over budget)	0.8054	N/A	N/A	N/A
2dbc1d9	keep	gamma 0 -> 0.01 (+0.0005, 60s tight)	0.8058	0.8159	0.8065	0.7322
d06405e	discard	gamma 0.01 -> 0.05	0.8047	N/A	N/A	N/A
74303e9	discard	add DepHour alongside Dep20Min (+0.0001 but 63s over budget)	0.8059	N/A	N/A	N/A
4ae1d1d	discard	drop DepTime (Dep20Min not enough; sub-bucket position matters)	0.7978	N/A	N/A	N/A
889488b	discard	FE: add DepMinute (+0.0037 BIG but 61s over budget)	0.8095	N/A	N/A	N/A
2c4cdde	keep	FE: DepMinute + n_est 525->475 (+0.0031, 56s)	0.8089	0.8203	0.8110	0.7354
203edf0	keep	n_est 475 -> 500 (+0.0004, 59s)	0.8093	0.8208	0.8115	0.7354
0e1f17a	discard	FE: Dep20Min -> DepHalfHour with DepMinute	0.8090	N/A	N/A	N/A
15436d5	discard	DepMinute as cat (-0.0075; numeric ordering matters)	0.8018	N/A	N/A	N/A
07d76dc	discard	drop UniqueCarrier (-0.0161, essential signal)	0.7932	N/A	N/A	N/A
5187366	keep	subsample 1.0 -> 0.95 (mild, +0.0003)	0.8096	0.8205	0.8111	0.7351
989f6f3	discard	subsample 0.95 -> 0.9	0.8086	N/A	N/A	N/A
b0b0509	discard	depth 16 -> 18 (+0.0003 but 60.6s over budget)	0.8099	N/A	N/A	N/A
865dcd5	discard	depth 18 + n_est 475 (depth=16 still better at n_est=500)	0.8095	N/A	N/A	N/A
26777d8	discard	add colsample_bynode=0.8	0.8086	N/A	N/A	N/A
e7ad324	discard	FE: Dep20Min -> Dep15Min (revisit; Dep20Min still better)	0.8087	N/A	N/A	N/A
1de33a3	discard	FE: add CarrierOrigin (+0.0034 BIG but 79s way over)	0.8130	N/A	N/A	N/A
61607fb	keep	FE: CarrierOrigin + n_est 500->350 (in budget, +0.0005)	0.8101	0.8207	0.8118	0.7401
2b6d7e3	discard	n_est 350->400 (+0.0012 but 66s over budget)	0.8113	N/A	N/A	N/A
f68d70b	discard	n_est 350->370 (+0.0005 but 62.5s over budget)	0.8106	N/A	N/A	N/A
b06430b	discard	depth 16->14 + n_est 350->450 (+0.0019 but 67s over budget)	0.8120	N/A	N/A	N/A
184689b	keep	depth 14, n_est 380 (in budget, +0.0005)	0.8106	0.8200	0.8113	0.7392
909ec96	discard	n_est 380 -> 420 (+0.0012 but 62s over budget)	0.8118	N/A	N/A	N/A
482591d	keep	n_est 380 -> 400 (+0.0005, tight 60s)	0.8111	0.8207	0.8119	0.7392
e6185bd	discard	FE: add CarrierDest (-0.0017 + over budget; redundant w/ CarrierOrigin)	0.8094	N/A	N/A	N/A
ddf8f1c	discard	drop Origin (CarrierOrigin alone insufficient)	0.8040	N/A	N/A	N/A
903022c	discard	colsample 0.6 -> 0.5 (0.6 still right)	0.8095	N/A	N/A	N/A
a503962	discard	subsample 0.95 -> 0.97 (0.95 sweet)	0.8106	N/A	N/A	N/A
cc2ef24	discard	mcw 10 -> 12	0.8095	N/A	N/A	N/A
4f6c832	discard	lr 0.04 -> 0.045 (no change to 4 decimals)	0.8111	N/A	N/A	N/A
e7bab71	discard	FE: add DowHour (-0.0137 big regression)	0.7974	N/A	N/A	N/A
34315dd	discard	lr 0.04 -> 0.035	0.8093	N/A	N/A	N/A
2da69c8	keep	FE: DayofMonth as numeric (NOT categorical) — BIG +0.0038	0.8149	0.8264	0.8166	0.7443
5bb3e62	keep	FE: Month as numeric too — BIG +0.0031, std drops 0.0041->0.0026	0.8180	0.8295	0.8201	0.7470
21c5dd3	keep	FE: DayOfWeek as numeric too (+0.0014, 51s)	0.8194	0.8320	0.8222	0.7471
48b22fb	discard	n_est 400 -> 500 (+0.0022 but 63s over budget)	0.8216	N/A	N/A	N/A
e3c5888	keep	n_est 400 -> 460 (+0.0015, 59s)	0.8209	0.8339	0.8237	0.7469
7255aff	discard	depth 14->16 (+0.0015 but 66s over budget)	0.8224	N/A	N/A	N/A
d7d945f	keep	depth 14->16 + n_est 460->400 (+0.0002, 59s)	0.8211	0.8331	0.8231	0.7468
de1ebea	keep	drop subsample (+0.0002, simpler)	0.8213	0.8336	0.8233	0.7471
d8f9b15	keep	drop gamma (-0.0001 noise, simpler)	0.8212	0.8333	0.8230	0.7468
2f9a16d	discard	n_est 400 -> 440 (+0.0010 but 64s over budget)	0.8222	N/A	N/A	N/A
000e4c3	discard	n_est 400 -> 420 (+0.0006 but 62s over budget)	0.8218	N/A	N/A	N/A
34dc1e7	discard	max_bin 256 -> 128 (no speedup, slight regression)	0.8206	N/A	N/A	N/A
72258ed	discard	drop Dep20Min cat (essential for non-monotonic time signal)	0.8102	N/A	N/A	N/A
6a8dfdb	discard	re-add subsample=0.95 (no longer helping)	0.8206	N/A	N/A	N/A
164b565	discard	drop CarrierOrigin alone (-0.0007 but 18s freed)	0.8205	N/A	N/A	N/A
6f29723	keep	drop CarrierOrigin + n_est 400->600 (+0.0019, 60s)	0.8231	0.8362	0.8252	0.7430
4cebeda	discard	n_est 600 -> 700 (+0.0007 but 67s over)	0.8238	N/A	N/A	N/A
394da24	discard	lr 0.04 -> 0.035 (lr=0.04 still right)	0.8222	N/A	N/A	N/A
d51184f	discard	depth 16->14 + n_est 600->700 (depth=16 still right)	0.8225	N/A	N/A	N/A
8335713	discard	colsample 0.6 -> 0.5	0.8196	N/A	N/A	N/A
b652adf	discard	re-add gamma=0.01 (no longer helps)	0.8227	N/A	N/A	N/A
67bde87	discard	mcw 10 -> 8 (+0.0016 but 64s over budget)	0.8247	N/A	N/A	N/A
1da9fc9	discard	mcw=8 + n_est 600->550 (+0.0012 but 60.5s over)	0.8243	N/A	N/A	N/A
70549bc	keep	mcw 10->8 + n_est 600->525 (+0.0011, in budget 57s)	0.8242	0.8374	0.8259	0.7442
05006a6	discard	n_est 525 -> 540 (no improvement)	0.8242	N/A	N/A	N/A
64d8263	discard	mcw 8 -> 6 (+0.0012 but 64s over)	0.8254	N/A	N/A	N/A
9b534b6	keep	mcw 8->6 + n_est 525->470 (+0.0006, 59s)	0.8248	0.8386	0.8272	0.7458
99e7b57	discard	mcw 6->4 + n_est 470->420 (+0.0017 but 63s over)	0.8265	N/A	N/A	N/A
e6e8636	keep	mcw 6->4 + n_est 470->380 (+0.0012, 58s)	0.8260	0.8396	0.8274	0.7471
988f114	discard	mcw 4->3 + n_est 380->350 (+0.0003 but 62s over)	0.8263	N/A	N/A	N/A
c2b0419	discard	n_est 380 -> 400 (+0.0003 but 61s over)	0.8263	N/A	N/A	N/A
be61bfe	discard	subsample 1.0 -> 0.97	0.8259	N/A	N/A	N/A
689c8ad	discard	FE: Dep20Min -> Dep15Min recheck	0.8246	N/A	N/A	N/A
4ed50d7	discard	FE: Dep20Min -> DepHalfHour recheck	0.8246	N/A	N/A	N/A
f8cf0ee	discard	add colsample_bynode=0.7	0.8234	N/A	N/A	N/A
595148a	discard	reg_alpha=1 (L1)	0.8237	N/A	N/A	N/A
60609d3	discard	depth 16->18 + n_est 380->320	0.8245	N/A	N/A	N/A
a0b90dc	discard	drop DepMinute (-0.0062, essential)	0.8198	N/A	N/A	N/A
6b4023f	discard	lr 0.04 -> 0.045	0.8259	N/A	N/A	N/A
affe428	discard	depth 16->14, n_est 380->480	0.8258	N/A	N/A	N/A
4bedc6c	discard	max_cat_threshold 64 -> 128 (+0.0008 but 62s over)	0.8268	N/A	N/A	N/A
fe3f7ce	keep	max_cat_threshold=128 + n_est 380->350 (+0.0003, 58s, std tighter)	0.8263	0.8398	0.8279	0.7484
fff985d	discard	max_cat_threshold 128 -> 192 (+0.0002 but 60.5s over)	0.8265	N/A	N/A	N/A
31139c1	keep	n_est 350 -> 365 (+0.0002, 60s tight)	0.8265	0.8401	0.8281	0.7483
36b7333	discard	max_cat_threshold 128 -> 160 (+0.0002 but 61s over)	0.8267	N/A	N/A	N/A
603ae8b	discard	add Dep20MinNum alongside cat (redundant)	0.8255	N/A	N/A	N/A
8f6e987	discard	add IsRedeye binary	0.8250	N/A	N/A	N/A
ff456bc	discard	re-add CarrierOrigin + n_est=300 (over budget, no improvement)	0.8257	N/A	N/A	N/A
fcf0044	crash	tree_method=approx (timeout)	0.0000	N/A	N/A	N/A
be855a6	discard	mcw 4->2, n_est 365->320 (+0.0016 but 71s over)	0.8281	N/A	N/A	N/A
8e07fdc	discard	mcw 4->2, n_est 365->260 (+0.0003 but 61s over)	0.8268	N/A	N/A	N/A
575c627	discard	mcw 4->2, n_est 365->240 (mcw=4 sweet)	0.8264	N/A	N/A	N/A
6f1c1b6	discard	mcw 4->3, n_est 365->310 (+0.0002 at 60s borderline)	0.8267	N/A	N/A	N/A
c797870	keep	lr 0.04 -> 0.045 (+0.0002, 59s)	0.8267	0.8411	0.8286	0.7472
6ada8c4	keep	lr 0.045 -> 0.05 (+0.0002, 57s)	0.8269	0.8410	0.8285	0.7473
c5b4203	discard	lr 0.05 -> 0.06 (equal)	0.8269	N/A	N/A	N/A
2eccc9d	discard	n_est 365 -> 400 (+0.0007 but 63s over)	0.8276	N/A	N/A	N/A
be89926	discard	n_est 365 -> 380 (+0.0003 but 65s over)	0.8272	N/A	N/A	N/A
ba0df9b	discard	drop max_cat_threshold=128 (-0.0009, helps)	0.8260	N/A	N/A	N/A
30899b7	discard	subsample 1.0 -> 0.95	0.8268	N/A	N/A	N/A
6c26b07	discard	depth 16->14, n_est 365->500 (+0.0004 but 69s over)	0.8273	N/A	N/A	N/A
bfc8da9	discard	depth 16->14, n_est 365->430	0.8268	N/A	N/A	N/A
0a86226	discard	colsample 0.6 -> 0.65	0.8269	N/A	N/A	N/A
cc2366b	discard	lr 0.05 -> 0.055 (+0.0004 but 62s over)	0.8273	N/A	N/A	N/A
f7ed658	keep	lr 0.05->0.055 + n_est 365->340 (+0.0002, 58s)	0.8271	0.8408	0.8286	0.7465
3d22f3e	discard	n_est 340 -> 355 (no change)	0.8271	N/A	N/A	N/A
b824a92	discard	lr 0.06, n_est 310	0.8263	N/A	N/A	N/A
2fb5afd	discard	add Month/DayofMonth/DayOfWeek as cat alongside num (huge regression)	0.8057	N/A	N/A	N/A
f387643	discard	colsample 0.6 -> 0.7 (+0.0005 but 61s over)	0.8276	N/A	N/A	N/A
1ea408a	keep	colsample 0.6->0.7 + n_est 340->320 (+0.0002, 60s)	0.8273	0.8417	0.8284	0.7474
bed86d6	keep	depth 16->14 + n_est 320->410 (+0.0004, 60s)	0.8277	0.8416	0.8291	0.7457
8b48672	discard	n_est 410 -> 450 (+0.0004 but 66s over)	0.8281	N/A	N/A	N/A
ab687f0	discard	lr 0.055 -> 0.05 (lr=0.055 sweet at depth=14)	0.8272	N/A	N/A	N/A
c7867db	discard	depth 14->12, n_est 410->470	0.8256	N/A	N/A	N/A
001600d	discard	mcw 4->2 + n_est 410->350 (equal but 66s over)	0.8277	N/A	N/A	N/A
210c41f	discard	n_est 410 -> 425 (+0.0001 but 61s over)	0.8278	N/A	N/A	N/A
85b7fcd	keep	lr 0.055 -> 0.06 (+0.0002, 60s)	0.8279	0.8416	0.8291	0.7452
a98f076	discard	lr 0.06 -> 0.07	0.8273	N/A	N/A	N/A
1642e7a	discard	mcw 4 -> 3 (+0.0007 but 64s over)	0.8286	N/A	N/A	N/A
20026f3	keep	mcw 4->3 + n_est 410->370 (+0.0002, 60s)	0.8281	0.8420	0.8292	0.7462
d829435	discard	mcw 3->2 + n_est 370->320	0.8276	N/A	N/A	N/A
d789a54	discard	n_est 370 -> 380 (+0.0002 but 61s over)	0.8283	N/A	N/A	N/A
062a17c	discard	subsample 1.0->0.95 (+0.0006 but 62s over)	0.8287	N/A	N/A	N/A
26ed7cd	keep	subsample=0.95 + n_est 370->350 (+0.0003, 58s)	0.8284	0.8431	0.8299	0.7466
2e82525	discard	n_est 350 -> 365 (+0.0002 but 60.3s over)	0.8286	N/A	N/A	N/A
1874d8d	discard	subsample 0.95 -> 0.92	0.8277	N/A	N/A	N/A
ff49ba1	discard	depth 14 -> 15 (equal but 63s over)	0.8284	N/A	N/A	N/A
220b18b	discard	subsample 0.95 -> 0.97	0.8280	N/A	N/A	N/A
21045e4	discard	colsample 0.7 -> 0.65	0.8271	N/A	N/A	N/A
bedd7c3	discard	colsample 0.7 -> 0.75 (equal)	0.8284	N/A	N/A	N/A
874722a	discard	n_est 350 -> 355 (equal)	0.8284	N/A	N/A	N/A
6ad57b9	discard	drop max_cat_threshold=128 (helping)	0.8271	N/A	N/A	N/A
395d764	discard	max_cat_threshold 128 -> 256	0.8282	N/A	N/A	N/A
8979fdc	discard	gamma=0.01	0.8281	N/A	N/A	N/A
29bd4e9	discard	mcw 3 -> 3.5	0.8277	N/A	N/A	N/A
4566bd9	discard	fresh combo: depth=12 + n_est=600 + mcw=8 (regression)	0.8242	N/A	N/A	N/A
e291bd4	discard	lr 0.06 -> 0.065	0.8282	N/A	N/A	N/A
310c38e	crash	FE: add Route (timeout)	0.0000	N/A	N/A	N/A
b129524	discard	n_est 350->320 + max_cat_threshold 128->192	0.8275	N/A	N/A	N/A
fa4e3f2	discard	fresh: n_est=380, mcw=4, colsample=0.65	0.8260	N/A	N/A	N/A
2b43c6f	discard	max_bin 256->512, n_est 350->240	0.8260	N/A	N/A	N/A
a60bfdb	discard	mcw 3->2 + n_est 350->300	0.8283	N/A	N/A	N/A
f0bc47a	discard	depth 14->20, n_est 350->240	0.8260	N/A	N/A	N/A
093d795	discard	lr 0.06->0.065 + n_est 350->320	0.8278	N/A	N/A	N/A
ffc54c7	discard	depth 14->16 + n_est 350->290	0.8275	N/A	N/A	N/A
e71514e	discard	lr 0.08, n_est 280	0.8269	N/A	N/A	N/A
56dafb0	discard	depth 12, n_est 420, lr 0.05, mcw 4	0.8259	N/A	N/A	N/A
325e338	discard	max_bin 256->384, n_est 350->280	0.8264	N/A	N/A	N/A
16de2a5	discard	n_est 350->370, mcw 3->3.5	0.8280	N/A	N/A	N/A
ded5a7b	discard	n_est 350->320, lr 0.06->0.07	0.8273	N/A	N/A	N/A
4d13e70	discard	add colsample_bynode=0.9	0.8278	N/A	N/A	N/A
9c11615	discard	drop max_cat_threshold + colsample 0.7->0.8	0.8275	N/A	N/A	N/A
cc1b1c2	discard	add IsHoliday binary (-0.0015, MonthNum suffices)	0.8269	N/A	N/A	N/A
32b336f	discard	depth 14 -> 13	0.8277	N/A	N/A	N/A
d4b788e	discard	subsample 0.95 -> 0.93	0.8276	N/A	N/A	N/A
f1029e0	discard	subsample 0.97 + lr 0.055	0.8278	N/A	N/A	N/A
c134c36	discard	add colsample_bynode=0.85	0.8268	N/A	N/A	N/A
a64d501	discard	max_cat_threshold 128 -> 96	0.8279	N/A	N/A	N/A
6ea1436	discard	n_est 350 -> 345	0.8283	N/A	N/A	N/A
2c6d39b	discard	model random_state 42 -> 0	0.8281	N/A	N/A	N/A
c89fe20	discard	n_est 350 -> 355 (equal)	0.8284	N/A	N/A	N/A
ecba325	discard	add colsample_bylevel=0.9	0.8283	N/A	N/A	N/A
3e058a6	discard	add gamma=0.005	0.8279	N/A	N/A	N/A
0aafcb4	discard	drop max_cat_threshold + n_est 350->380	0.8275	N/A	N/A	N/A
29d48b8	discard	mcw 3 -> 3.2	0.8279	N/A	N/A	N/A
6f295e5	discard	fresh: mcw 2, colsample 0.5, lr 0.04, n_est 400	0.8262	N/A	N/A	N/A
d857c63	discard	depth 14->20 n_est 350->200 lr 0.06->0.04	0.8232	N/A	N/A	N/A
95bdc97	discard	lr 0.06 -> 0.058 (equal)	0.8284	N/A	N/A	N/A
b56f471	discard	lr 0.062 + n_est 345	0.8281	N/A	N/A	N/A
24bff6f	discard	n_est 350 -> 348 (equal)	0.8284	N/A	N/A	N/A
3059f90	discard	add colsample_bynode=0.95	0.8278	N/A	N/A	N/A
7acf64a	discard	mcw 3->2, n_est 350->280	0.8280	N/A	N/A	N/A
639b573	discard	max_cat_to_onehot=20 (equal)	0.8284	N/A	N/A	N/A
6c2cd81	discard	subsample 0.95 -> 0.96	0.8283	N/A	N/A	N/A
7a5d905	discard	subsample 0.95 -> 0.94	0.8281	N/A	N/A	N/A
599bb33	discard	depth 18, n_est 250, mcw 4	0.8255	N/A	N/A	N/A
e09980e	discard	max_cat_threshold 128 -> 144	0.8275	N/A	N/A	N/A
f418719	discard	max_cat_threshold 128 -> 112	0.8282	N/A	N/A	N/A
467d630	discard	mcw 3 -> 5	0.8264	N/A	N/A	N/A
fff6285	keep	mcw 3 -> 2.5 (+0.0006, 56s) — broke through plateau!	0.8290	0.8436	0.8303	0.7470
e863c66	keep	n_est 350 -> 365 (+0.0003, 58s)	0.8293	0.8439	0.8305	0.7470
19e1ce6	discard	n_est 365 -> 380 (+0.0001 but 61s over)	0.8294	N/A	N/A	N/A
a738cfc	discard	mcw 2.5 -> 2 (+0.0001 but 61s over)	0.8294	N/A	N/A	N/A
6124d7f	discard	mcw 2.5 -> 2.7	0.8290	N/A	N/A	N/A
8055a25	discard	n_est 365 -> 370 (equal)	0.8293	N/A	N/A	N/A
6f8fca1	discard	mcw 2.5 -> 2.3	0.8291	N/A	N/A	N/A
c715af1	discard	lr 0.06 -> 0.058	0.8286	N/A	N/A	N/A
69971a3	discard	lr 0.062 + n_est 350	0.8287	N/A	N/A	N/A
366e1cc	discard	subsample 0.97 (mcw=2.5)	0.8286	N/A	N/A	N/A
65f5bb4	discard	colsample 0.7 -> 0.65	0.8281	N/A	N/A	N/A
e97dc03	discard	colsample 0.7 -> 0.75 (equal)	0.8293	N/A	N/A	N/A
211ebfa	discard	subsample 0.95 -> 0.93	0.8285	N/A	N/A	N/A
2f8c109	discard	max_cat_threshold 128 -> 160	0.8285	N/A	N/A	N/A
1393245	discard	n_est 365 -> 360	0.8292	N/A	N/A	N/A
0ff3a41	discard	n_est 365 -> 367 (equal)	0.8293	N/A	N/A	N/A
8959dcc	discard	lr 0.061 + n_est 362	0.8288	N/A	N/A	N/A
486e358	discard	mcw 2.5 -> 2.6	0.8287	N/A	N/A	N/A
3c25b60	discard	mcw 2.5 -> 2.4	0.8289	N/A	N/A	N/A
56eb07e	discard	drop max_cat_threshold (still helps)	0.8278	N/A	N/A	N/A
7bad7c8	discard	reg_lambda=2	0.8285	N/A	N/A	N/A
5b9cd2a	discard	reg_lambda 1 -> 0.5	0.8284	N/A	N/A	N/A
455380f	discard	max_cat_to_onehot=8 (equal)	0.8293	N/A	N/A	N/A
b4851df	discard	depth 14 -> 15	0.8289	N/A	N/A	N/A
5bf8d80	discard	lr 0.06 -> 0.059	0.8285	N/A	N/A	N/A
4dadf4b	discard	lr 0.06 -> 0.061	0.8288	N/A	N/A	N/A
b39f0d5	discard	max_cat_to_onehot=25 (forces one-hot UniqueCarrier, big regression)	0.8240	N/A	N/A	N/A
7084bbb	discard	colsample 0.7->0.65 + max_cat_threshold 128->160	0.8277	N/A	N/A	N/A
9f51af6	discard	subsample 0.97 + n_est 370	0.8287	N/A	N/A	N/A
fb01dad	discard	add DayofMonth cat alongside num (huge regression)	0.8148	N/A	N/A	N/A
65ce87d	keep	n_est 365 -> 380 (+0.0001, 60s)	0.8294	0.8441	0.8307	0.7469
fab312a	discard	n_est 380 -> 395 (+0.0002 but 62s over)	0.8296	N/A	N/A	N/A
2229f93	discard	n_est 380 -> 385 (+0.0001 but 61s over)	0.8295	N/A	N/A	N/A
df17b33	discard	lr 0.06->0.058, n_est 380->395	0.8290	N/A	N/A	N/A
eadeb3d	discard	mcw 2.5->2.6, n_est 380->395	0.8290	N/A	N/A	N/A
aeb28d5	discard	max_cat_threshold 128 -> 110	0.8286	N/A	N/A	N/A
1ca64d3	discard	max_cat_threshold 128 -> 140	0.8290	N/A	N/A	N/A
0b816d0	discard	subsample 0.94 + lr 0.061 + n_est 375	0.8290	N/A	N/A	N/A
52a8695	discard	colsample 0.7 -> 0.8	0.8290	N/A	N/A	N/A
90faed7	discard	lr 0.05, mcw 2, n_est 420 (+0.0011 BIG but 73s over)	0.8305	N/A	N/A	N/A
ae1697d	discard	lr 0.05, mcw 2, n_est 340 (+0.0001 but 61s over)	0.8295	N/A	N/A	N/A
fc7cdd3	discard	lr 0.05 mcw 2 n_est 320	0.8290	N/A	N/A	N/A
4522430	discard	lr 0.055, mcw 2, n_est 380	0.8295	N/A	N/A	N/A
83a42a1	discard	lr 0.055, mcw 2, n_est 350	0.8290	N/A	N/A	N/A
8093199	discard	lr 0.05, mcw 2, n_est 360 (+0.0004 but 64s over)	0.8298	N/A	N/A	N/A
